SEXO; NUM_HIJOS; ANNO_ANTIGUEDAD; SBA_IMPORTE; NUM_CURSOS; EVP_NUM; DESEMPENNO
1;0;34;44000;2;2.7;0
1;0;35;44000;2;2.7;1
1;0;36;44000;2;2.7;1
1;0;37;44000;0;0;1
1;0;38;44000;0;0;1
0;0;34;23000;2;5.2;1
0;0;35;23000;2;3.95;1
0;0;36;23000;2;3.95;1
0;0;37;23000;0;1.25;0
0;0;38;23000;0;0;1
0;0;34;40000;2;2.7;0
0;0;35;40000;2;2.7;1
0;0;36;40000;2;2.7;1
0;0;33;44000;2;2.7;0
0;0;34;44000;2;2.7;0
0;0;35;44000;2;2.7;0
0;0;36;44000;0;0;0
0;0;37;44000;0;2.5;0
0;0;33;0;2;2.7;1
0;0;34;42000;2;5.2;1
0;0;35;42000;2;5.2;1
0;0;36;42000;0;2.5;1
0;0;37;42000;0;1.25;0
1;2;30;23000;2;7.7;1
1;1;31;23000;2;6.45;1
1;1;32;23000;2;6.45;1
1;1;33;23000;0;2.5;0
1;1;34;23000;0;5;1
1;0;26;23000;2;5.2;1
1;0;27;23000;2;5.2;1
1;0;28;23000;0;2.5;0
1;0;29;23000;0;2.5;0
1;0;40;46000;2;5.2;1
1;0;41;46000;2;5.2;1
1;0;42;46000;2;5.2;1
1;0;43;46000;0;1.25;0
1;0;44;46000;0;1.25;0
0;0;39;23000;2;5.2;1
0;0;40;23000;2;2.7;1
0;0;39;0;2;2.7;1
0;0;40;0;2;2.7;1
0;0;41;23000;2;5.2;1
0;0;34;0;2;2.7;1
0;0;35;0;2;2.7;1
0;0;36;23000;2;5.2;1
0;0;37;23000;0;2.5;0
0;0;38;23000;0;2.5;0
0;0;34;0;2;2.7;0
0;0;35;0;2;2.7;0
0;0;36;23000;2;5.2;1
0;0;38;40000;2;3.95;1
0;0;39;40000;2;3.95;1
0;0;40;40000;2;2.7;0
0;0;34;23000;2;2.7;0
0;0;35;23000;2;2.7;0
0;0;36;23000;2;2.7;1
0;0;37;23000;0;0;0
0;0;38;23000;0;0;0
0;0;32;23000;2;5.2;1
0;0;33;23000;2;3.95;1
0;0;34;23000;2;3.95;1
0;0;35;23000;0;1.25;0
0;0;36;23000;0;0;0
0;1;32;23000;2;7.7;1
0;1;33;23000;2;6.45;1
0;1;34;23000;2;6.45;1
0;1;35;23000;0;2.5;0
0;0;36;23000;0;2.5;0
0;0;32;17000;2;3.95;1
0;0;33;17000;2;3.95;1
0;0;34;23000;2;3.95;1
0;0;35;23000;2;3.95;1
0;0;36;23000;2;2.7;1
0;0;37;23000;0;0;1
0;0;38;23000;0;0;1
1;0;32;23000;2;2.7;1
1;0;33;23000;2;2.7;1
1;0;34;23000;2;2.7;1
1;0;35;23000;0;0;1
1;0;30;40000;2;2.7;1
1;0;31;40000;2;2.7;1
1;0;32;40000;2;2.7;1
1;0;33;40000;0;0;1
1;0;34;40000;0;0;1
1;2;23;46000;2;5.2;1
1;2;24;46000;2;5.2;1
1;1;25;46000;2;5.2;1
1;1;26;46000;0;2.5;1
1;1;27;46000;0;2.5;1
1;1;39;23000;2;6.45;1
1;0;40;23000;2;3.95;1
1;0;41;23000;2;3.95;1
0;0;32;23000;2;3.95;1
0;0;33;23000;2;3.95;1
0;0;34;23000;2;3.95;1
1;0;31;40000;2;2.7;1
1;0;32;40000;2;2.7;1
1;0;33;40000;2;2.7;1
1;0;33;40000;2;3.95;1
1;0;34;40000;2;3.95;1
1;0;35;40000;2;2.7;1
1;0;36;40000;0;0;1
1;0;37;40000;0;0;1
1;0;44;0;2;2.7;1
1;0;46;23000;2;5.2;1
1;0;47;23000;0;2.5;1
1;0;48;23000;0;2.5;1
1;2;39;23000;2;5.2;1
1;2;40;23000;2;5.2;1
1;0;41;23000;2;2.7;1
1;0;42;23000;0;0;1
1;0;43;23000;0;0;1
1;0;32;23000;2;2.7;1
1;0;33;23000;2;2.7;1
1;0;34;23000;2;2.7;1
0;0;32;23000;2;3.95;1
0;0;33;23000;2;3.95;1
0;0;34;23000;2;3.95;1
0;0;35;23000;0;0;1
0;0;40;0;2;2.7;1
0;0;41;0;2;2.7;1
0;0;42;23000;2;5.2;1
1;0;38;40000;2;2.7;1
